tier,Count,Bad_Rate,Avg_Prob,Bad_Rate_pct
Medium (10–30%),3420,0.002631578947368421,0.27360663,0.26
High (30–50%),14226,0.013215239701954169,0.39079198,1.32
Very High (>50%),12354,0.14634936053100212,0.6662662,14.63
