Model,Train AUC,Test AUC,Test Gini,Test KS,Precision (Bad),Recall (Bad),Recall (Good),F1 (Bad),TP,FP,TN,FN,Threshold,Train Time (s),Dataset
"Improved TabNet (Optuna best, MHA+Focal)",0.8694,0.8704,0.7407,0.5857,0.2226,0.781,0.8046,0.3464,1566,5470,22525,439,0.6098,157.02,Give Me Some Credit
TabNet + MHA + Focal Loss,0.8673,0.8688,0.7376,0.582,0.2023,0.811,0.771,0.3238,1626,6411,21584,379,0.5464,,Give Me Some Credit
TabNet,0.8699,0.868,0.7361,0.5802,0.2258,0.7691,0.8111,0.3491,1542,5288,22707,463,0.546,248.54,Give Me Some Credit
LightGBM,0.9014,0.866,0.7321,0.5786,0.2062,0.799,0.7796,0.3277,1602,6169,21826,403,0.4552,0.85,Give Me Some Credit
Random Forest,0.877,0.8658,0.7316,0.5824,0.2116,0.7945,0.7879,0.3341,1593,5937,22058,412,0.45,14.31,Give Me Some Credit
Logistic Regression,0.86,0.8654,0.7308,0.5734,0.2096,0.7855,0.7878,0.3309,1575,5940,22055,430,0.4889,1.4,Give Me Some Credit
CatBoost,0.9344,0.857,0.7141,0.5612,0.2049,0.7771,0.7841,0.3243,1558,6044,21951,447,0.411,17.85,Give Me Some Credit
Decision Tree,0.8632,0.8548,0.7096,0.5709,0.2037,0.793,0.7779,0.3241,1590,6217,21778,415,0.5232,0.77,Give Me Some Credit
XGBoost,0.9442,0.85,0.7,0.552,0.1968,0.78,0.772,0.3143,1564,6384,21611,441,0.3792,0.71,Give Me Some Credit
